count,roblas-bench command
168,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA N --transposeB N -m 64 -n 472 -k 472 --alpha 1 --lda 8192 --stride_a 64 --ldb 472 --stride_b 222784 --beta 0 --ldc 64 --stride_c 30208 --batch 128
144,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA N --transposeB N -m 64 -n 506 -k 506 --alpha 1 --lda 8192 --stride_a 64 --ldb 506 --stride_b 256036 --beta 0 --ldc 64 --stride_c 32384 --batch 128
144,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA T --transposeB N -m 443 -n 443 -k 64 --alpha 1 --lda 8192 --stride_a 64 --ldb 8192 --stride_b 64 --beta 0 --ldc 443 --stride_c 196249 --batch 128
144,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA T --transposeB N -m 436 -n 436 -k 64 --alpha 1 --lda 8192 --stride_a 64 --ldb 8192 --stride_b 64 --beta 0 --ldc 436 --stride_c 190096 --batch 128
144,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA N --transposeB N -m 64 -n 492 -k 492 --alpha 1 --lda 8192 --stride_a 64 --ldb 492 --stride_b 242064 --beta 0 --ldc 64 --stride_c 31488 --batch 128
144,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA N --transposeB N -m 64 -n 482 -k 482 --alpha 1 --lda 8192 --stride_a 64 --ldb 482 --stride_b 232324 --beta 0 --ldc 64 --stride_c 30848 --batch 128
144,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA T --transposeB N -m 506 -n 506 -k 64 --alpha 1 --lda 8192 --stride_a 64 --ldb 8192 --stride_b 64 --beta 0 --ldc 506 --stride_c 256036 --batch 128
144,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA T --transposeB N -m 488 -n 488 -k 64 --alpha 1 --lda 8192 --stride_a 64 --ldb 8192 --stride_b 64 --beta 0 --ldc 488 --stride_c 238144 --batch 128
144,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA T --transposeB N -m 492 -n 492 -k 64 --alpha 1 --lda 8192 --stride_a 64 --ldb 8192 --stride_b 64 --beta 0 --ldc 492 --stride_c 242064 --batch 128
144,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA N --transposeB N -m 64 -n 488 -k 488 --alpha 1 --lda 8192 --stride_a 64 --ldb 488 --stride_b 238144 --beta 0 --ldc 64 --stride_c 31232 --batch 128
